word,text_index,tag,freq,lemma,is_new_paragraph,sentence_number,completed_words
su,1,DP3CS0,39487,su,0,14,[viviendo viviendo en en viviendo siendo siendo vivos viviendo su viviendo viviendo aun en viviendo existiendo luego]
vida,1,NCFS000,4752,vida,0,14,[vida vida vida vida vida vida crecimiento especie ciclo vida desarrollo viaje vida desarrollo evolución vida]
en,1,SPS00,116148,en,0,14,[en durante en durante fuera luego sin igual en acuática en hasta en acuática fuera en viviendo en en después en andando]
el,1,DA0MS0,139088,el,0,14,
agua,1,NCCS000,1479,agua,0,14,[continente desierto agua agua agua agua agua barro agua agua mar suelo agua océano agua agua río agua agua mar]
al,1,SPS00,24923,a,0,14,
llegar,1,VMN0000,1345,llegar,0,14,
la,1,DA0FS0,184190,el,0,14,
estación,1,NCFS000,300,estacion,0,14,
de,1,SPS00,262147,de,0,14,
las,1,DA0FP0,51322,el,0,14,
lluvias,1,NCFP000,74,lluvia,0,14,
Encontré,1,VMIS1S0,176,encontrar,0,15,
su,1,DP3CS0,39487,su,0,15,
nombre,1,NCMS000,1382,nombre,0,15,
español,1,AQ0MS0,707,espaniol,0,15,
ajolote,1,NCMS000,1,ajolote,0,15,
la,1,DA0FS0,184190,el,0,15,
mención,1,NCFS000,61,mencion,0,15,
de,1,SPS00,262147,de,0,15,
que,1,CS,57797,que,0,15,
son,1,VSIP3P0,7175,ser,0,15,[estos eran son eran eran eran su se eran eran]
comestibles,1,AQ0CP0,10,comestible,0,15,
y,1,CC,140290,y,0,15,
que,1,CS,57797,que,0,15,
su,1,DP3CS0,39487,su,0,15,
aceite,1,NCMS000,107,aceite,0,15,
se,1,P00CN000,68376,se,0,15,
usaba,1,VMII3S0,63,usar,0,15,
se,1,P00CN000,68376,se,0,15,
diría,1,VMIC3S0,264,decir,0,15,
que,1,CS,57797,que,0,15,
no,1,RN,55431,no,0,15,
se,1,P00CN000,68376,se,0,15,
usa,1,VMIP3S0,56,usar,0,15,
más,1,RG,16563,mas,0,15,
como,1,CS,19643,como,0,15,
el,1,DA0MS0,139088,el,0,15,
de,1,SPS00,262147,de,0,15,
hígado,1,NCMS000,117,higado,0,15,
de,1,SPS00,262147,de,0,15,
bacalao,1,NCMS000,35,bacalao,0,15,
No,1,RN,55431,no,1,16,
quise,1,VMIS1S0,98,querer,0,16,
consultar,1,VMN0000,40,consultar,0,16,
obras,1,NCFP000,378,obra,0,16,
especializadas,1,VMP00PF,33,especializar,0,16,
pero,1,CC,18593,pero,0,16,
volví,1,VMIS1S0,152,volver,0,16,
al,1,SPS00,24923,a,0,16,[al a a caminando a a a a a a a al al]
día,1,NCMS000,3938,dia,0,16,[estante diccionario diccionario acuario acuario acuario pasar diccionario centro acuario acuario lugar acuario]
siguiente,1,AQ0CS0,733,siguiente,0,16,[siguiente siguiente siguiente siguiente siguiente siguiente siguiente siguiente siguiente siguiente siguiente siguiente siguiente]
al,1,SPS00,24923,a,0,16,
Jardin,1,NCMS000,1,jardin,0,16,
des,1,NCFP000,1,d,0,16,
Plantes,1,NCMP000,1,plante,0,16,[plantes plantes plantes plantes royal plantes plantes plantes plantes que plantes les]
Empecé,1,VMIS1S0,122,empezar,0,17,[los vi encontré no allí ahí los allí los tenía nunca allí me entre los allí los estuve]
a,1,SPS00,91082,a,0,17,[a por a a a visitando por a a entonces una buscando a recorriendo a a por una a a a]
ir,1,VMN0000,1064,ir,0,17,[buscar mirar observar obsesionarme observar mirar observar obsesionarme buscar mirar buscar buscar leer buscar observar ver buscar]
todas,1,DI0FP0,2251,todo,0,17,[a buscando diariamente seguido mas amenudo cada siempre regularmente despacio seguido directo regularmente seguido seguido a]
las,1,DA0FP0,51322,el,0,17,
mañanas,1,NCFP000,137,maniana,0,17,
a,1,SPS00,91082,a,0,17,[a cerca al una la aun hasta pensando mi cuando a sin me]
veces,1,NCFP000,1422,vez,0,17,[mirarlos observar aveces ver verlos observar mirar verlos observarlos verlos ver ver verlos ver ver veces la]
de,1,SPS00,262147,de,0,17,[hasta cuando de sorprendido también iba incluso también pasaba hasta a incluso me]
mañana,1,NCFS000,1112,maniana,0,17,[día repente noche noche mañana visita mañana tarde noche madrugada tarde tarde tarde noche noche noche noche noche tarde noche tarde día pasada tarde]
y,1,CC,140290,y,0,17,[y temprano a y a en y solía y y o temprano a temprano antes no]
de,1,SPS00,262147,de,0,17,
tarde,1,RG,1064,tarde,0,17,
El,1,DA0MS0,139088,el,0,18,[hasta una un incluso me un siempre hasta eso visitaba otras yo era cuanto me]
guardián,1,NCMS000,37,guardian,0,18,[tiempo jardín jardín día guardia día acuario ajolote acuario axolotl guardián acuario axolotl axolotl axolotl jardín jardín axolotl guardia día acuario hombre]
de,1,SPS00,262147,de,0,18,[me me me me me sabia me me me dijo ya veía era pensaría de de del de del]
los,1,DA0MP0,79125,el,0,18,[el los los turno la fauna el turno la]
acuarios,1,NCMP000,1,acuario,0,18,[leones acuarios jardines animales acuarios leones axolotl animales axolotl hábitats parques acuarios axolotl acuarios]
sonreía,1,VMII3S0,120,sonreir,0,18,[me me era me sospechaba de me era era me ya me saludaba]
perplejo,1,AQ0MS0,39,perplejo,0,18,
al,1,SPS00,24923,a,0,18,
recibir,1,VMN0000,289,recibir,0,18,
el,1,DA0MS0,139088,el,0,18,
billete,1,NCMS000,46,billete,0,18,
Me,1,PP1CS000,18401,me,0,19,[otro me hasta una luego cuando entonces yo un me]
apoyaba,1,VMII3S0,30,apoyar,0,19,[sonreía saludaba apoyaba ponía observaban dijo parecía gustaba fui miraba acercaba]
en,1,SPS00,116148,en,0,19,[siempre el sobre en en la la en en sobre en en en la la en en]
la,1,DA0FS0,184190,el,0,19,
barra,1,NCFS000,163,barra,0,19,
de,1,SPS00,262147,de,0,19,
hierro,1,NCMS000,84,hierro,0,19,
que,1,PR0CN000,95340,que,0,19,
bordea,1,VMIP3S0,12,bordear,0,19,
los,1,DA0MP0,79125,el,0,19,[el el la las las el el las al la la la el el la la el el]
acuarios,1,NCMP000,1,acuario,0,19,[jardines axolotl tanques tanques acuarios acuarios acuarios acuarios cercos acuarios acuarios acuarios jardines acuarios acuarios acuarios estanques]
y,1,CC,140290,y,0,19,[y azules para y inmensos y y y mirando de para de con y y a de]
me,1,PP1CS000,18401,me,0,19,
ponía,1,VMII3S0,279,poner,0,19,
a,1,SPS00,91082,a,0,19,
mirarlos,1,VMN0000,15,mirar,0,19,
No,1,RN,55431,no,0,20,
hay,1,VMIP3S0,6056,haber,0,20,
nada,1,PI0CS000,1985,nada,0,20,
de,1,SPS00,262147,de,0,20,[de como parecido mas mas mas mejor mas tan mas mas mas en]
